92.104, 213.097, 4.990,  4.379 False
92.104, 212.930, 4.993,  4.412 False
92.104, 212.764, 5.004,  4.445 False
92.105, 212.597, 5.013,  4.478 False
92.105, 212.429, 5.019,  4.511 False
92.105, 212.262, 5.023,  4.544 False
92.105, 212.094, 5.024,  4.577 False
92.105, 211.927, 5.017,  4.610 False
92.105, 211.760, 4.991,  4.643 False
92.106, 211.594, 4.994,  4.676 False
92.106, 211.427, 5.004,  4.709 False
92.106, 211.260, 5.012,  4.742 False
92.106, 211.093, 5.017,  4.775 False
92.106, 210.926, 5.020,  4.808 False
92.106, 210.758, 5.021,  4.841 False
92.106, 210.591, 5.015,  4.874 False
92.107, 210.425, 4.990,  4.907 False
92.107, 210.258, 4.992,  4.940 False
92.107, 210.092, 5.002,  4.973 False
92.107, 209.925, 5.010,  5.006 False
92.108, 209.758, 5.015,  5.039 False
92.108, 209.590, 5.018,  5.072 False
92.108, 209.423, 5.019,  5.105 False
92.108, 209.256, 5.014,  5.138 False
92.109, 209.089, 4.989,  5.171 False
92.109, 208.923, 4.991,  5.204 False
92.109, 208.757, 5.001,  5.237 False
92.109, 208.590, 5.008,  5.270 False
92.109, 208.422, 5.013,  5.303 False
92.110, 208.255, 5.016,  5.336 False
92.110, 208.088, 5.017,  5.369 False
92.110, 207.921, 5.012,  5.402 False
92.110, 207.754, 4.989,  5.435 False
92.111, 207.588, 4.991,  5.468 False
92.111, 207.422, 5.000,  5.501 False
92.111, 207.255, 5.007,  5.534 False
92.111, 207.088, 5.012,  5.567 False
92.111, 206.920, 5.015,  5.600 False
92.112, 206.753, 5.016,  5.633 False
92.112, 206.586, 5.016,  5.666 False
92.112, 206.419, 5.016,  5.699 False
92.112, 206.252, 5.010,  5.732 False
92.112, 206.085, 4.996,  5.765 False
92.112, 205.919, 4.999,  5.798 False
92.112, 205.752, 5.003,  5.831 False
92.113, 205.585, 5.006,  5.864 False
92.113, 205.418, 5.007,  5.897 False
92.113, 205.251, 5.008,  5.930 False
92.113, 205.084, 5.009,  5.963 False
92.113, 204.917, 5.007,  5.996 False
92.113, 204.751, 4.995,  6.029 False
92.113, 204.585, 4.993,  6.062 False
92.114, 204.418, 4.998,  6.095 False
92.114, 204.251, 5.003,  6.128 False
92.114, 204.084, 5.006,  6.161 False
92.114, 203.917, 5.008,  6.194 False
92.114, 203.750, 5.009,  6.227 False
92.115, 203.583, 5.009,  6.260 False
